"","arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude"
"1",199131647,"2019-06-30T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200501","F","K",78,0,"<18","M","BLACK",988709,187224,40.680570483,-73.9839249569999
"2",199109946,"2019-06-30T00:00:00.000",244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,"BURGLARY","PL 1402000","F","Q",104,0,"25-44","M","BLACK",1011210,191981,40.6935874220001,-73.9027808119999
"3",199131650,"2019-06-30T00:00:00.000",792,"WEAPONS POSSESSION 1 & 2",118,"DANGEROUS WEAPONS","PL 2650303","F","K",73,0,"18-24","M","BLACK",1007783,185486,40.6757699120001,-73.9151616139999
"4",199126329,"2019-06-30T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348,"VEHICLE AND TRAFFIC LAWS","VTL05110A2","M","Q",104,0,"25-44","M","WHITE HISPANIC",1017324,198914,40.7125961290001,-73.880699051
"5",199127207,"2019-06-30T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","K",90,0,"45-64","M","WHITE HISPANIC",999701,195491,40.703249129,-73.9442754259999
"6",199127210,"2019-06-30T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 215510B","F","K",75,0,"45-64","F","WHITE",1019699,188374,40.683657114,-73.872187589
"7",199128426,"2019-06-30T00:00:00.000",478,"THEFT OF SERVICES, UNCLASSIFIED",343,"OTHER OFFENSES RELATED TO THEFT","PL 1651502","M","M",14,0,"25-44","F","BLACK",987472,214939,40.7566420420001,-73.988371577
"8",199130662,"2019-06-30T00:00:00.000",115,"RECKLESS ENDANGERMENT 2",355,"OFFENSES AGAINST THE PERSON","PL 1202000","M","B",43,0,"18-24","M","WHITE HISPANIC",1024580,242517,40.832244706,-73.854264055
"9",199130665,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",76,0,"25-44","F","BLACK",987679,188770,40.6848143610001,-73.987637735
"10",199130921,"2019-06-30T00:00:00.000",197,"COERCION 1",126,"MISCELLANEOUS PENAL LAW","PL 2151501","F","K",60,0,"25-44","M","WHITE HISPANIC",988057,151538,40.582620261,-73.986295804
"11",199131286,"2019-06-30T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200501","F","B",43,0,"18-24","F","BLACK",1024523,244460,40.8375779340001,-73.854458365
"12",199131295,"2019-06-30T00:00:00.000",269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1450501","F","K",61,0,"25-44","M","WHITE",991564,156756,40.596940429,-73.9736645569999
"13",199131499,"2019-06-30T00:00:00.000",244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,"BURGLARY","PL 1402000","F","M",5,0,"25-44","M","WHITE HISPANIC",983859,200907,40.7181282450001,-74.0014119529999
"14",199110210,"2019-06-30T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",6,0,"25-44","F","BLACK",982113,209104,40.740626761,-74.007713137
"15",199112379,"2019-06-30T00:00:00.000",117,"RECKLESS ENDANGERMENT 1",126,"MISCELLANEOUS PENAL LAW","PL 1202500","F","Q",106,0,"25-44","M","BLACK",1026429,186424,40.6782753030001,-73.847934352
